,Unit,Session,Type,Description,Weight,Due,Length,School
3,ACCT3600,2024-S1C-ND-CC,Small test,Quiz Two,7%,Week 08,15 minutes,Accounting
4,ACCT3600,2024-S1C-ND-CC,Small test,Quiz Three,7%,Week 10,15 minutes,Accounting
5,ACCT3600,2024-S1C-ND-CC,Assignment,Research case study,25%,0 May 2024,10-12 pages,Accounting
0,ACCT3013,2024-S1C-ND-CC,,Final exam,55%,Formal exam period,2 hours,Accounting
1,ACCT3013,2024-S1C-ND-CC,,Mid-semester exam,20%,0 Apr 2024,1 hour,Accounting
2,ACCT3013,2024-S1C-ND-CC,Small test,Online quiz,10%,4 Apr 2024,30 minutes,Accounting
3,ACCT3013,2024-S1C-ND-CC,Assignment,Individual assignment,15%,8 May 2024,800 words,Accounting
0,ACCT3016,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,ACCT3016,2024-S1C-ND-CC,Participation,Participation,5%,Ongoing,Ongoing,Accounting
2,ACCT3016,2024-S1C-ND-CC,Assignment,Individual assignment,15%,8 Mar 2024,1500 words,Accounting
3,ACCT3016,2024-S1C-ND-CC,Assignment,Group written assignment,20%,4 May 2024,2500 words,Accounting
4,ACCT3016,2024-S1C-ND-CC,Small continuous assessment,Group presentation,10%,Weekly,15 minutes,Accounting
0,CLAW3201,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Accounting
1,CLAW3201,2024-S1C-ND-CC,Presentation,Group presentation,20%,Ongoing,15-20 minutes per group,Accounting
2,CLAW3201,2024-S1C-ND-CC,Short release assignment,Individual research paper,20%,Ongoing,1500 words,Accounting
3,CLAW3201,2024-S1C-ND-CC,Attendance,Tutorial Participation,10%,Weekly,10 tutorials for 10 marks,Accounting
0,INFS3110,2024-S1C-ND-CC,,Final exam,50%,Formal exam period,2 hours,Business Information Systems
1,INFS3110,2024-S1C-ND-CC,Assignment,Individual assignment,20%,8 Mar 2024,1500 words,Business Information Systems
2,INFS3110,2024-S1C-ND-CC,Assignment,Group assignment,30%,6 May 2024,2000 words (the equivalent of),Business Information Systems
0,ACCT3400,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Accounting
1,ACCT3400,2024-S1C-ND-CC,Assignment,Individual Statement One,0%,3 Mar 2024,500 words,Accounting
2,ACCT3400,2024-S1C-ND-CC,Assignment,Group Plan,20%,4 Mar 2024,2000 words,Accounting
3,ACCT3400,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Accounting
4,ACCT3400,2024-S1C-ND-CC,Presentation,Group Presentation,20%,7 May 2024,≤10 minutes,Accounting
5,ACCT3400,2024-S1C-ND-CC,Assignment,Group Project Report,40%,4 May 2024,4000 words,Accounting
6,ACCT3400,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,NA,Accounting
0,ACCT3400,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Accounting
1,ACCT3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement One,0%,4 Jan 2024,500 words,Accounting
2,ACCT3400,2024-S1CIFE-BM-CC,Assignment,Group Plan,20%,0 Jan 2024,2000 words,Accounting
3,ACCT3400,2024-S1CIFE-BM-CC,Presentation,Group Presentation,20%,6 Feb 2024,≤10 minutes,Accounting
4,ACCT3400,2024-S1CIFE-BM-CC,Assignment,Group Project Report,40%,6 Feb 2024,4000 words,Accounting
5,ACCT3400,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Accounting
6,ACCT3400,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Accounting
0,AMST1202,2024-S1C-ND-CC,Assignment,Research Essay,45%,5 Jun 2023,2000 wd,United States Studies Centre
1,AMST1202,2024-S1C-ND-CC,Assignment,Media Practice Analysis,15%,8 Mar 2024,750 word,United States Studies Centre
2,AMST1202,2024-S1C-ND-CC,Assignment,Research Proposal,15%,4 Apr 2024,750 wd,United States Studies Centre
3,AMST1202,2024-S1C-ND-CC,Presentation,1 x 1000 Word Equivalent Presentation,25%,Week 13,1000 word,United States Studies Centre
0,USSC1201,2024-S1C-ND-CC,Assignment,Comparison exercise 1,25%,3 Mar 2024,1000 words,United States Studies Centre
1,USSC1201,2024-S1C-ND-CC,Assignment,Comparison exercise 2,25%,7 Apr 2024,1000 words,United States Studies Centre
2,USSC1201,2024-S1C-ND-CC,Assignment,Tutorial reflection exercise,10%,8 May 2024,500 words,United States Studies Centre
3,USSC1201,2024-S1C-ND-CC,Assignment,Research essay,40%,5 May 2024,2000 words,United States Studies Centre
0,AMST2701,2024-S1C-ND-CC,Assignment,Research essay,60%,1 Jun 2024,2500 words,United States Studies Centre
1,AMST2701,2024-S1C-ND-CC,Participation,Tutorial participation notes,10%,Multiple weeks,800wd equivalent,United States Studies Centre
2,AMST2701,2024-S1C-ND-CC,Assignment,Reading response,30%,5 Mar 2024,1500 words,United States Studies Centre
0,GCST2605,2024-S1C-ND-CC,Presentation,Q&A reflection,15%,-,500 words,Gender and Cultural Studies
1,GCST2605,2024-S1C-ND-CC,Assignment,Final Project,40%,3 Jun 2024,2000 words,Gender and Cultural Studies
2,GCST2605,2024-S1C-ND-CC,Assignment,Racial Autobiography,15%,8 Mar 2024,1000 words,Gender and Cultural Studies
3,GCST2605,2024-S1C-ND-CC,Assignment,Midterm Essay or Creative Dialogue,30%,2 Apr 2024,1000 words,Gender and Cultural Studies
0,USSC3603,2024-S1C-ND-CC,Assignment,Research essay,40%,2 Jun 2024,3000 words,United States Studies Centre
1,USSC3603,2024-S1C-ND-CC,Participation,Informed tutorial participation,10%,Multiple weeks,Ongoing,United States Studies Centre
2,USSC3603,2024-S1C-ND-CC,Online task,Tutorial question (TQ1),10%,2 Mar 2024,300 words,United States Studies Centre
3,USSC3603,2024-S1C-ND-CC,Online task,Tutorial question (TQ3),10%,9 Apr 2024,300 words,United States Studies Centre
4,USSC3603,2024-S1C-ND-CC,Assignment,Research question/proposal/bibliography,20%,2 Apr 2024,500 words,United States Studies Centre
5,USSC3603,2024-S1C-ND-CC,Online task,Tutorial question (TQ2),10%,7 May 2024,300 words,United States Studies Centre
0,USSC3703,2024-S1C-ND-CC,Assignment,Research project paper,50%,1 Jun 2024,3000 words,United States Studies Centre
1,USSC3703,2024-S1C-ND-CC,Assignment,Research project proposal,30%,8 Apr 2024,1000 words,United States Studies Centre
2,USSC3703,2024-S1C-ND-CC,Presentation,Presentation,20%,3 May 2024,500 words,United States Studies Centre
0,FASS3999,2024-S1C-ND-CC,Assignment,Disciplinary Mapping,20%,8 Mar 2024,1000 words,Arts and Social Sciences
1,FASS3999,2024-S1C-ND-CC,Assignment,Case Study Project,35%,7 May 2024,1500-2000 words,Arts and Social Sciences
2,FASS3999,2024-S1C-ND-CC,Assignment,Critical Reflection: From Disciplinarity to Interdisciplinarity,30%,4 May 2024,1500 words,Arts and Social Sciences
3,FASS3999,2024-S1C-ND-CC,Participation,Critical engagement and participation in learning,15%,Weekly,Ongoing + 6 x Quizzes based on readings,Arts and Social Sciences
0,FASS3333,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Arts and Social Sciences
1,FASS3333,2024-S1C-ND-CC,Assignment,Individual statement One,0%,3 Mar 2024,500 words,Arts and Social Sciences
2,FASS3333,2024-S1C-ND-CC,Assignment,Group plan,20%,4 Mar 2024,2000 words,Arts and Social Sciences
3,FASS3333,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Arts and Social Sciences
4,FASS3333,2024-S1C-ND-CC,Presentation,Group presentation,20%,7 May 2024,≤10 minutes,Arts and Social Sciences
5,FASS3333,2024-S1C-ND-CC,Assignment,Group project report,40%,4 May 2024,4000 words,Arts and Social Sciences
6,FASS3333,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,NA,Arts and Social Sciences
0,FASS3333,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Arts and Social Sciences
1,FASS3333,2024-S1CIFE-BM-CC,Assignment,Individual Statement One,0%,4 Jan 2024,500 words,Arts and Social Sciences
2,FASS3333,2024-S1CIFE-BM-CC,Assignment,Group Plan,20%,0 Jan 2024,2000 words,Arts and Social Sciences
3,FASS3333,2024-S1CIFE-BM-CC,Assignment,Group Presentation,20%,6 Feb 2024,≤10 minutes,Arts and Social Sciences
4,FASS3333,2024-S1CIFE-BM-CC,Assignment,Group Project Report,40%,6 Feb 2024,4000 words,Arts and Social Sciences
5,FASS3333,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Arts and Social Sciences
6,FASS3333,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Arts and Social Sciences
0,BIOL1008,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL1008,2024-S1C-ND-CC,Participation,Workshop participation,5%,Multiple weeks,Variable,Life and Environmental Sciences Academic Operations
2,BIOL1008,2024-S1C-ND-CC,Skills-based evaluation,Micro-credentialing,5%,Multiple weeks,Variable,Life and Environmental Sciences Academic Operations
3,BIOL1008,2024-S1C-ND-CC,Skills-based evaluation,Skills Ttest,15%,Multiple weeks,Up to 90 min,Life and Environmental Sciences Academic Operations
4,BIOL1008,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,8 Mar 2024,10 min,Life and Environmental Sciences Academic Operations
5,BIOL1008,2024-S1C-ND-CC,Online task,Post-module Quiz 1,2.5%,5 Mar 2024,10 min,Life and Environmental Sciences Academic Operations
6,BIOL1008,2024-S1C-ND-CC,Assignment,Scientific report,25%,8 Mar 2024,1000 words,Life and Environmental Sciences Academic Operations
7,BIOL1008,2024-S1C-ND-CC,Online task,Post-module Quiz 2,2.5%,2 Apr 2024,10 min,Life and Environmental Sciences Academic Operations
8,BIOL1008,2024-S1C-ND-CC,Online task,Post-module Quiz 3,2.5%,3 May 2024,10 min,Life and Environmental Sciences Academic Operations
9,BIOL1008,2024-S1C-ND-CC,Online task,Post-module Quiz 4,2.5%,4 May 2024,10 min,Life and Environmental Sciences Academic Operations
0,BIOL1908,2024-S1C-ND-CC,,Final Exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL1908,2024-S1C-ND-CC,Participation,Workshop participation,5%,Multiple weeks,Variable,Life and Environmental Sciences Academic Operations
2,BIOL1908,2024-S1C-ND-CC,Skills-based evaluation,Micro-credentialing,5%,Multiple weeks,Variable,Life and Environmental Sciences Academic Operations
3,BIOL1908,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,8 Mar 2024,10 min,Life and Environmental Sciences Academic Operations
4,BIOL1908,2024-S1C-ND-CC,Online task,Post-module Quiz 1,2.5%,5 Mar 2024,10 min,Life and Environmental Sciences Academic Operations
5,BIOL1908,2024-S1C-ND-CC,Assignment,Scientific report,25%,8 Mar 2024,1000 words,Life and Environmental Sciences Academic Operations
6,BIOL1908,2024-S1C-ND-CC,Online task,Post-module Quiz 2,2.5%,2 Apr 2024,10 min,Life and Environmental Sciences Academic Operations
7,BIOL1908,2024-S1C-ND-CC,Online task,Post-module Quiz 3,2.5%,3 May 2024,10 min,Life and Environmental Sciences Academic Operations
8,BIOL1908,2024-S1C-ND-CC,Skills-based evaluation,Skills test,15%,Week 11,Up to 90 min,Life and Environmental Sciences Academic Operations
9,BIOL1908,2024-S1C-ND-CC,Online task,Post-module Quiz 4,2.5%,4 May 2024,10 min,Life and Environmental Sciences Academic Operations
0,BIOL1998,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2 hours,Life and Environmental Sciences Academic Operations
1,BIOL1998,2024-S1C-ND-CC,Tutorial quiz,Week 2 pre-lab quiz,2%,1 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
2,BIOL1998,2024-S1C-ND-CC,Tutorial quiz,Early Feedback Task,2%,8 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
3,BIOL1998,2024-S1C-ND-CC,Tutorial quiz,Week 4 pre-lab quiz,2%,5 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
4,BIOL1998,2024-S1C-ND-CC,Tutorial quiz,Week 5 pre-lab quiz,2%,2 Mar 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
5,BIOL1998,2024-S1C-ND-CC,Tutorial quiz,Week 10 pre-lab quiz,2%,3 May 2024,Up to 60 min,Life and Environmental Sciences Academic Operations
6,BIOL1998,2024-S1C-ND-CC,Assignment,mtDNA report,30%,6 May 2024,6 pages,Life and Environmental Sciences Academic Operations
7,BIOL1998,2024-S1C-ND-CC,Presentation,Wildlife forensics presentation,20%,Week 13,15 minutes,Life and Environmental Sciences Academic Operations
0,CHEM1011,2024-S1C-ND-CC,,Final Supervised Exam,55%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM1011,2024-S1C-ND-CC,Online task,Labtorial and safety quizzes,5%,Multiple weeks,15-30 minutes,Chemistry Academic Operations
2,CHEM1011,2024-S1C-ND-CC,Small continuous assessment,Laboratory methods,10%,Multiple weeks,1-2 pages per lab and in-class tasks,Chemistry Academic Operations
3,CHEM1011,2024-S1C-ND-CC,Online task,Early Feedback Task,1%,3 Mar 2024,"10 MCQs, 20-30 minutes",Chemistry Academic Operations
4,CHEM1011,2024-S1C-ND-CC,Online task,Checkpoint quiz,5%,4 Apr 2024,40 minutes,Chemistry Academic Operations
5,CHEM1011,2024-S1C-ND-CC,Assignment,Major post-laboratory assessment,10%,2 May 2024,Varied,Chemistry Academic Operations
6,CHEM1011,2024-S1C-ND-CC,Small continuous assessment,Weekly Lecture Quizzes,14%,Weekly,"~30 minutes each week, 3 attempts only",Chemistry Academic Operations
0,CHEM1111,2024-S1C-ND-CC,,Final Supervised Exam,55%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM1111,2024-S1C-ND-CC,Online task,Labtorial and safety quizzes,5%,Multiple weeks,15-30 minutes,Chemistry Academic Operations
2,CHEM1111,2024-S1C-ND-CC,Small continuous assessment,Laboratory methods,10%,Multiple weeks,1-2 pages per lab and in-class tasks,Chemistry Academic Operations
3,CHEM1111,2024-S1C-ND-CC,Online task,Early Feedback Task,1%,3 Mar 2024,"10 MCQs, 20-30 minutes",Chemistry Academic Operations
4,CHEM1111,2024-S1C-ND-CC,Online task,Checkpoint quiz,5%,4 Apr 2024,40 minutes,Chemistry Academic Operations
5,CHEM1111,2024-S1C-ND-CC,Assignment,Major post-laboratory assessment,10%,2 May 2024,Varied,Chemistry Academic Operations
6,CHEM1111,2024-S1C-ND-CC,Small continuous assessment,Weekly Lecture Quizzes,14%,Weekly,"~30 minutes each week, 3 attempts only",Chemistry Academic Operations
0,CHEM1111,2024-S1CIJA-BM-CC,,End of semester exam,30%,February exam weeks,1.5 hours,Chemistry Academic Operations
1,CHEM1111,2024-S1CIJA-BM-CC,Online task,Checkpoint quiz 1,10%,9 Jan 2024,40 minutes,Chemistry Academic Operations
2,CHEM1111,2024-S1CIJA-BM-CC,,Mid-course exam,30%,5 Jan 2024,1.5 hours,Chemistry Academic Operations
3,CHEM1111,2024-S1CIJA-BM-CC,Online task,Checkpoint quiz 2,10%,9 Feb 2024,40 minutes,Chemistry Academic Operations
4,CHEM1111,2024-S1CIJA-BM-CC,Skills-based evaluation,Laboratory work,20%,Weekly,Eight three hours laboratory sessions.,Chemistry Academic Operations
0,CHEM1911,2024-S1C-ND-CC,,Final exam,55%,Formal exam period,2 hours,Chemistry Academic Operations
1,CHEM1911,2024-S1C-ND-CC,Small continuous assessment,Laboratory methods,15%,Multiple weeks,1-2 pages per lab and in-class tasks,Chemistry Academic Operations
2,CHEM1911,2024-S1C-ND-CC,Small continuous assessment,Weekly Lecture Quizzes,14%,Ongoing,"~30 minutes each week, 3 attempts only",Chemistry Academic Operations
3,CHEM1911,2024-S1C-ND-CC,Online task,Early Feedback Task,1%,3 Mar 2024,"10 MCQs, 20-30 minutes",Chemistry Academic Operations
4,CHEM1911,2024-S1C-ND-CC,Online task,Checkpoint Quiz,5%,4 Apr 2024,40 minutes,Chemistry Academic Operations
5,CHEM1911,2024-S1C-ND-CC,Assignment,Group video laboratory assessment,10%,5 May 2024,Varied,Chemistry Academic Operations
0,MEDS1001,2024-S1C-ND-CC,,Final exam,40%,Formal exam period,2.5 hours,Life and Environmental Sciences Academic Operations
1,MEDS1001,2024-S1C-ND-CC,Online task,Post-module quizzes,10%,Multiple weeks,8 minutes x 4 quizzes,Life and Environmental Sciences Academic Operations
2,MEDS1001,2024-S1C-ND-CC,Online task,Early Feedback Task,0%,8 Mar 2024,8 minutes,Life and Environmental Sciences Academic Operations
3,MEDS1001,2024-S1C-ND-CC,Assignment,Individual Reflection,5%,2 Mar 2024,Equivalent 300 words/student,Life and Environmental Sciences Academic Operations
4,MEDS1001,2024-S1C-ND-CC,Assignment,Character build,5%,7 Mar 2024,See Canvas for more details,Life and Environmental Sciences Academic Operations
5,MEDS1001,2024-S1C-ND-CC,Small test,Pathology visit assessment,2.5%,Week 08,See Canvas,Life and Environmental Sciences Academic Operations
6,MEDS1001,2024-S1C-ND-CC,Small test,Pharmacology assessment,2.5%,Week 10,See Canvas,Life and Environmental Sciences Academic Operations
7,MEDS1001,2024-S1C-ND-CC,Assignment,Data Detectives: Scientific Report,15%,3 May 2024,1000 words,Life and Environmental Sciences Academic Operations
8,MEDS1001,2024-S1C-ND-CC,Assignment,Virtual Exhibition,20%,4 May 2024,Variable,Life and Environmental Sciences Academic Operations
0,ANAT2008,2024-S1C-ND-CC,,Final Theory/Prac Exam,35%,Formal exam period,1 hour,Department of Medical Sciences
1,ANAT2008,2024-S1C-ND-CC,Assignment,Module 1: Video,10%,7 Mar 2024,3 minutes,Department of Medical Sciences
2,ANAT2008,2024-S1C-ND-CC,Tutorial quiz,Module 2 Quiz,15%,Week 08,30 minutes,Department of Medical Sciences
3,ANAT2008,2024-S1C-ND-CC,Tutorial quiz,Module 3 Quiz,15%,Week 11,30 minutes,Department of Medical Sciences
4,ANAT2008,2024-S1C-ND-CC,Tutorial quiz,Module 4 quiz,15%,Week 13,30 minutes,Department of Medical Sciences
5,ANAT2008,2024-S1C-ND-CC,Assignment,In-class histology microscope and anatomy drawing assessment,10%,6 May 2024,N/A,Department of Medical Sciences
0,ANAT3007,2024-S1C-ND-CC,,Practical Exam,40%,Formal exam period,30 minutes,Department of Medical Sciences
1,ANAT3007,2024-S1C-ND-CC,Small test,Module 1 - W2,5%,1 Mar 2024,10 minutes,Department of Medical Sciences
2,ANAT3007,2024-S1C-ND-CC,Assignment,Module 1 - W3,5%,8 Mar 2024,N/A,Department of Medical Sciences
3,ANAT3007,2024-S1C-ND-CC,Assignment,Module 1 - W4,5%,5 Mar 2024,500 words,Department of Medical Sciences
4,ANAT3007,2024-S1C-ND-CC,Assignment,Module 2,20%,5 May 2024,10 slides & 10 minutes,Department of Medical Sciences
5,ANAT3007,2024-S1C-ND-CC,,Module 3 & Workshops,25%,3 May 2024,1 hour,Department of Medical Sciences
0,ANAT3907,2024-S1C-ND-CC,,Practical Exam,40%,Formal exam period,30 minutes,Department of Medical Sciences
1,ANAT3907,2024-S1C-ND-CC,Small test,Module 1 - W2,5%,1 Mar 2024,10 minutes,Department of Medical Sciences
2,ANAT3907,2024-S1C-ND-CC,Assignment,Module 1 - W3,5%,8 Mar 2024,N/A,Department of Medical Sciences
3,ANAT3907,2024-S1C-ND-CC,Assignment,Module 1 - W4,5%,5 Mar 2024,500 words,Department of Medical Sciences
4,ANAT3907,2024-S1C-ND-CC,Assignment,Module 2,20%,5 May 2024,10 minutes,Department of Medical Sciences
5,ANAT3907,2024-S1C-ND-CC,,Module 3 & workshops,25%,3 May 2024,1 hour,Department of Medical Sciences
0,ANAT3008,2024-S1C-ND-CC,,Theory exam,30%,Formal exam period,1 hour,Department of Medical Sciences
1,ANAT3008,2024-S1C-ND-CC,,Practical exam,30%,Formal exam period,30 minutes,Department of Medical Sciences
2,ANAT3008,2024-S1C-ND-CC,Assignment,Practical Portfolio,10%,7 Mar 2024,4 short activities + 1 creative piece,Department of Medical Sciences
3,ANAT3008,2024-S1C-ND-CC,Online task,Quiz 1,7.5%,7 Mar 2024,15 minutes,Department of Medical Sciences
4,ANAT3008,2024-S1C-ND-CC,Assignment,Surface anatomy assignment,15%,6 Apr 2024,Two diagrams + short descriptions,Department of Medical Sciences
5,ANAT3008,2024-S1C-ND-CC,Online task,Quiz 2,7.5%,7 May 2024,15 minutes,Department of Medical Sciences
0,ANAT3908,2024-S1C-ND-CC,,Theory exam,30%,Formal exam period,1 hour,Department of Medical Sciences
1,ANAT3908,2024-S1C-ND-CC,,Practical exam,30%,Formal exam period,30 minutes,Department of Medical Sciences
2,ANAT3908,2024-S1C-ND-CC,Small test,in semester theory test,10%,1 Mar 2024,1 hour,Department of Medical Sciences
3,ANAT3908,2024-S1C-ND-CC,Assignment,Essay,20%,0 May 2024,1500-2000 words,Department of Medical Sciences
4,ANAT3908,2024-S1C-ND-CC,Assignment,Poster,10%,7 May 2024,A3,Department of Medical Sciences
0,SCPU3001,2024-S1C-ND-CC,Participation,Attendance,0%,Ongoing,NA,Science Faculty
1,SCPU3001,2024-S1C-ND-CC,Assignment,Individual Statement One,0%,3 Mar 2024,500 words,Science Faculty
2,SCPU3001,2024-S1C-ND-CC,Assignment,Group Plan,20%,4 Mar 2024,2000 words,Science Faculty
3,SCPU3001,2024-S1C-ND-CC,Assignment,Individual Statement Two,20%,1 Apr 2024,500 words,Science Faculty
4,SCPU3001,2024-S1C-ND-CC,Presentation,Group Presentation,20%,7 May 2024,≤10 minutes,Science Faculty
5,SCPU3001,2024-S1C-ND-CC,Assignment,Group Project Report,40%,4 May 2024,4000 words,Science Faculty
6,SCPU3001,2024-S1C-ND-CC,Assignment,Group work survey,0%,6 May 2024,NA,Science Faculty
0,SCPU3001,2024-S1CIFE-BM-CC,Participation,Attendance,0%,Ongoing,NA,Science Faculty
1,SCPU3001,2024-S1CIFE-BM-CC,Assignment,Individual statement one,0%,4 Jan 2024,500 words,Science Faculty
2,SCPU3001,2024-S1CIFE-BM-CC,Assignment,Group plan,20%,0 Jan 2024,2000 words,Science Faculty
3,SCPU3001,2024-S1CIFE-BM-CC,Presentation,Group presentation,20%,6 Feb 2024,≤10 minutes,Science Faculty
4,SCPU3001,2024-S1CIFE-BM-CC,Assignment,Group Project Report,40%,6 Feb 2024,4000 words,Science Faculty
5,SCPU3001,2024-S1CIFE-BM-CC,Assignment,Individual Statement Two,20%,3 Feb 2024,500 words,Science Faculty
6,SCPU3001,2024-S1CIFE-BM-CC,Assignment,Group work survey,0%,8 Feb 2024,NA,Science Faculty
0,GRKA1600,2024-S1C-ND-CC,,Exam,40%,Formal exam period,2 hours,Classics and Ancient History
1,GRKA1600,2024-S1C-ND-CC,Creative assessment / demonstration,Assignments,15%,Multiple weeks,275 words x 2,Classics and Ancient History
2,GRKA1600,2024-S1C-ND-CC,Participation,Participation,10%,Ongoing,-,Classics and Ancient History
3,GRKA1600,2024-S1C-ND-CC,Small continuous assessment,In class Quizzes,15%,Ongoing,75 words x 6,Classics and Ancient History
4,GRKA1600,2024-S1C-ND-CC,Small test,Early Feedback Task,2%,7 Mar 2024,125 words,Classics and Ancient History
5,GRKA1600,2024-S1C-ND-CC,Small continuous assessment,Online tests,18%,Weekly,125 words x 11,Classics and Ancient History
0,GRKA2600,2024-S1C-ND-CC,,Final exam / exercise,40%,Formal exam period,2 hours,Classics and Ancient History
1,GRKA2600,2024-S1C-ND-CC,Presentation,Presentation,7.5%,Multiple weeks,250 words,Classics and Ancient History
2,GRKA2600,2024-S1C-ND-CC,Small test,Vocabulary & Morphology,15%,Ongoing,6x 55 words,Classics and Ancient History
3,GRKA2600,2024-S1C-ND-CC,Presentation,Language task,7.5%,Please select a valid week from the list below,440 wrds. Reflection on presentation.,Classics and Ancient History
4,GRKA2600,2024-S1C-ND-CC,Participation,"Participation, Collaboration & Reflection",10%,Progressive,400 wrds,Classics and Ancient History
5,GRKA2600,2024-S1C-ND-CC,Online task,Weekly quiz,20%,Weekly,12x 90 words,Classics and Ancient History
0,GRKA3007,2024-S1C-ND-CC,,Supervised final exam,40%,Formal exam period,2 hours,Classics and Ancient History
1,GRKA3007,2024-S1C-ND-CC,Presentation,Presentation (F2F/Zoom),10%,Ongoing,20 minutes,Classics and Ancient History
2,GRKA3007,2024-S1C-ND-CC,Online task,Participation & Engagement,10%,Ongoing,duration of semester,Classics and Ancient History
3,GRKA3007,2024-S1C-ND-CC,Assignment,Essay,40%,Week 12,2000wd,Classics and Ancient History
0,GRKA3605,2024-S1C-ND-CC,Small test,Unseen translation exercises,10%,Multiple weeks,4 x 125wd,Classics and Ancient History
